name,experience,skills,interview_feedback,reason_not_hired,stage,year_applied,job_code,module_scores,modules_interview,location,level
Robin Burton,"['Implemented collaborative filtering and matrix factorization techniques', 'Optimized deep learning models for real-time predictions in search']","Machine Learning, C++, TensorFlow, SQL","['Persistent and resilient', 'Collaborative team player']",Cultural fit issues,Additional Onsite,2025,ML02,3.0,"['Product and UI', 'SQL', 'Coding and Algorithm']","San Francisco, CA",Senior
Angela Jones MD,['Utilized reinforcement learning to enhance recommendation engine'],"PyTorch, Data Science, Flask","['Prone to overlook minor details', 'Needs guidance to take initiative']",Other,Additional Onsite,2021,DS001,3.0,['Technical Writing'],"Sunnyvale, CA",Senior
Peggy Foster,['Utilized reinforcement learning to enhance recommendation engine'],"SQL, Machine Learning, C++, Azure Data Factory","['Strong attention to detail', 'Confident in stakeholder interactions']",Lack of required skills,Phone Screen,2022,SWE01,3.5,['Technical Writing'],"Sunnyvale, CA",Manager
Andrew Rodriguez,"['Built scalable NLP pipeline for sentiment analysis with 92% accuracy', 'Created a customer segmentation model, boosting revenue by 32%']","AWS, Java, PyTorch, React, Flask","['Positively accepts and applies feedback', 'Persistent and resilient', 'Resistant to constructive feedback']",Job closed,TPS2,2025,SWE01,4.2,"['Technical Writing', 'SQL', 'Product and UI']","Mountain View, CA",Sr-Staff
Marilyn Wheeler,"['Integrated machine learning with big data tools (e.g., Spark, Hadoop)', 'Leveraged federated learning for secure multi-organization data sharing']","AWS, SQL","['Strong attention to detail', 'Resistant to constructive feedback']",Other,Phone Screen,2019,DS003,2.0,"['Technical Writing', 'SQL', 'Coding and Algorithm']","Mountain View, CA",Staff
Joshua Nunez,"['Designed algorithms to increase personalized content relevance by 25%', 'Enhanced search algorithms to reduce query response time by 50%']","Azure Data Factory, TensorFlow","['Confident in stakeholder interactions', 'Resistant to constructive feedback']",Offer declined,Phone Screen,2021,SWE01,5.0,"['SQL', 'Coding and Algorithm', 'Technical Writing']","Sunnyvale, CA",Manager
Kathy Pena,"['Utilized reinforcement learning to enhance recommendation engine', 'Optimized deep learning models for real-time predictions in search']","Machine Learning, Flask, Data Science, PyTorch, C++",['Easily flustered in high-stress situations'],Lack of required skills,Rejected,2025,SWE01,2.0,"['Data Analysis', 'Coding and Algorithm', 'Technical Writing']","Austin, TX",Senior
David Horn,"['Integrated machine learning with big data tools (e.g., Spark, Hadoop)']","Machine Learning, Data Science, Docker, Java","['Hesitant in decision-making', 'Adaptable to ambiguity']",Job closed,Rejected,2021,SWE,2.5,"['Technical Writing', 'SQL', 'System design']","Sunnyvale, CA",Entry-level
Victoria Lewis,"['Designed algorithms to increase personalized content relevance by 25%', 'Developed recommendation algorithms, improving user engagement by 30%']","JavaScript, Docker, AWS, C++, Java",['Hesitant in decision-making'],Salary mismatch,Onsite,2018,DS003,1.2,"['Data Analysis', 'Product and UI']","New York, NY",Sr-Staff
Megan Ritter,"['Integrated machine learning with big data tools (e.g., Spark, Hadoop)']","Machine Learning, JavaScript","['Adaptable to ambiguity', 'Struggles with team dynamics']",Better candidate found,TPS1,2025,DS003,3.1,"['Coding and Algorithm', 'Product and UI']","Seattle, WA",Entry-level
